"","pred1a"
"1",-273.127408458889
"2",-1131.10141686447
"3",-1460.88162687757
"4",-1803.68612808648
"5",-443.302087418653
"6",-204.286152771901
"7",53.7504357991735
"8",-359.734590936601
"9",-1318.92035443708
"10",-520.391511430625
"11",-1193.77016567065
"12",-766.171935336744
"13",-959.420977833826
"14",-965.338581585172
"15",-1296.04979211317
"16",-1482.53878528962
"17",-1217.62010649857
"18",-961.824081380193
"19",-1074.6820605477
"20",-1430.46282435687
"21",-1868.88308397443
"22",-2002.19045229726
"23",-1583.68370600349
"24",-426.319526889602
"25",-613.736170861124
"26",-815.393505378962
"27",-983.417762134559
"28",-552.674669736089
"29",-795.970212538678
"30",-810.570123768886
"31",-351.393379370761
"32",373.700208209749
"33",-564.830026989533
"34",-288.603126918719
"35",-1083.41571932993
"36",-1296.66469222884
"37",-550.514252157138
"38",-128.237583506445
"39",-1196.90432507933
"40",-631.241180367225
"41",-928.163861068981
"42",-2209.94577996082
"43",-1811.55881740804
"44",-799.164230090967
"45",-895.613251077881
"46",-282.788883815416
"47",-885.147688664222
"48",-379.507052622276
"49",-288.412334560955
"50",-1417.3718454023
"51",-1089.58871927244
"52",-714.919690570706
"53",-251.127547652126
"54",136.4753371967
"55",-816.565747651699
"56",-1011.34467494123
"57",-762.110477739631
"58",-503.425254186943
"59",-312.129859422763
"60",-1096.52513675182
"61",354.753014428716
"62",-639.058697103879
"63",-382.050001267914
"64",-640.854451303446
"65",-807.437724149187
"66",-636.211580625304
"67",-293.152061389151
"68",39.965161194898
"69",-888.782205523104
"70",-458.721322934782
"71",-332.800126548865
"72",213.184005048951
"73",557.626656395247
"74",931.015608089635
"75",767.339935668569
"76",-390.04241830584
"77",13.7291371573239
"78",-391.273256613979
"79",499.655357180455
"80",644.238077810089
"81",394.991316987097
"82",1007.1213228265
"83",757.720967502673
"84",29.5989084594486
"85",-486.278932375598
"86",-13.1197282928197
"87",-23.7006633084215
"88",404.485416109534
"89",425.260912397247
"90",-362.178008373759
"91",-442.008948421847
"92",-144.643922625421
"93",265.745459515083
"94",948.833514181909
"95",1095.13616014854
"96",586.160814557588
"97",284.126016058257
"98",549.85903768814
"99",761.923534077478
"100",458.05940284015
"101",460.311942318872
"102",-86.70303454615
"103",163.516404143102
"104",709.874772917899
"105",816.584424208117
"106",1108.3179119073
"107",938.82394003897
"108",1111.29541088576
"109",51.435446716867
"110",986.332954556421
"111",910.068985864334
"112",822.324833999467
"113",-1453.89365581882
"114",-1068.32230325171
"115",189.857107809005
"116",793.204301504566
"117",65.8316518974781
"118",249.711129359461
"119",-251.510758058464
"120",510.282765872301
"121",-94.0535314724034
"122",843.679787052563
"123",1159.95932504343
"124",622.016041583123
"125",1462.56747816954
"126",884.118174651235
"127",466.139868996317
"128",248.688199740932
"129",319.502564239718
"130",450.142719989122
"131",585.800846600188
"132",990.615417621615
"133",1318.69353102342
"134",1119.26706766679
"135",342.142281247635
"136",679.952798656734
"137",1472.8133870691
"138",1135.14021059757
"139",1216.30413590701
"140",1532.80786704279
"141",1066.73921876064
"142",351.106541772625
"143",718.920143552426
"144",798.327582014372
"145",1402.97460319491
"146",1591.30140474949
"147",1519.92648006723
"148",1337.32508835608
"149",1200.7635283804
"150",1371.48721248804
"151",888.999347491577
"152",1524.6925074412
"153",879.059987649729
"154",1306.68075453145
"155",1279.68952055852
"156",1073.86749242035
"157",375.166599718094
"158",1299.58753202999
"159",1393.00493119972
"160",1640.88680920369
"161",2004.89050143481
"162",1897.80979747865
"163",1164.96676119997
"164",734.683458847489
"165",1156.44891423814
"166",1330.59272406144
"167",1472.39858123034
"168",1495.02081908809
"169",1156.48907104763
"170",375.404208457618
"171",1603.11890969155
"172",2186.2071779115
"173",2669.36416885515
"174",2413.48257105655
"175",2237.98852978326
"176",2235.85419876391
"177",1793.89532317722
"178",1371.13018018268
"179",1874.71515616794
"180",2323.78725383282
"181",2694.90139253442
"182",2343.06401259373
"183",2676.92324950878
"184",2544.45037207164
"185",2685.44076715681
"186",2365.43573660617
"187",2792.98531656631
"188",2926.6772629629
"189",3004.13456954253
"190",2703.21279036476
"191",1513.21997224711
"192",1646.76896972951
"193",2223.85669529027
"194",2296.00657637821
"195",1994.6838885398
"196",1602.76300027971
"197",2143.14500931069
"198",2302.54770174406
"199",2759.46380549465
"200",2568.69941352727
"201",2409.86796149453
"202",1177.12208187264
"203",271.322421009846
"204",1314.36213583923
"205",2187.88658967154
"206",2102.18489442115
"207",2214.06134913316
"208",2117.18896574763
"209",2451.60192544239
"210",2314.60529058725
"211",1970.29256306671
"212",2061.44282587451
"213",1957.12676025359
"214",2295.57641574657
"215",2503.77888592171
"216",1841.24729981247
"217",2440.48910027787
"218",2084.10107710358
"219",1844.15272913294
"220",1785.37150737057
"221",1897.29682715101
"222",2431.34016849501
"223",1475.33300046856
"224",1428.72160450034
"225",2156.73775458859
"226",2250.48909777157
"227",2146.94753463151
"228",2105.54470841929
"229",2296.0093103832
"230",2323.09145601042
"231",1997.55886091151
"232",1226.43940866769
"233",1162.68474308292
"234",1956.81520697671
"235",2059.290300671
"236",2200.57294046363
"237",1725.83775533908
"238",1101.34077624088
"239",886.458754591446
"240",1982.66555025839
"241",2038.2443666158
"242",2056.04507572138
"243",2232.29968991636
"244",2322.37379220314
"245",2030.25112142949
"246",1638.26359108473
"247",1782.82655727877
"248",2031.42845539984
"249",2204.61060817313
"250",1553.76662397502
"251",2133.04067465055
"252",1098.33347193664
"253",1519.04688721504
"254",1376.25630242971
"255",1726.32100311372
"256",1728.9960676699
"257",1886.17031375093
"258",1936.86971032624
"259",1577.91112858249
"260",1604.51099011006
"261",879.046636805515
"262",585.179580366795
"263",1291.06794478697
"264",1454.45286632216
"265",1612.54744842129
"266",1571.69562832598
"267",1438.37938079213
"268",1574.19274928356
"269",1506.82296194719
"270",1879.32445184722
"271",1620.18046003406
"272",1426.71267367451
"273",1551.7585478699
"274",1508.49686513747
"275",1264.39964600737
"276",922.595307362645
"277",1926.85215422607
"278",1861.98869740875
"279",2306.45152238169
"280",1640.91319351708
"281",547.028718515422
"282",9.50263239471053
"283",615.151330487632
"284",1567.86303561568
"285",1316.53590444169
"286",1189.8759129253
"287",1198.47164055397
"288",1273.71537162411
"289",870.689251725646
"290",1335.02619418564
"291",1404.31823258327
"292",854.415804512133
"293",1245.54967724398
"294",1587.0313995167
"295",1266.21591413982
"296",1566.34225029326
"297",1780.75355813022
"298",2052.62484576041
"299",1142.20128361915
"300",1120.05052941632
"301",854.458054846383
"302",116.768419063681
"303",-581.636736540282
"304",-213.415275901421
"305",156.178403560012
"306",509.601446742011
"307",826.546125357857
"308",226.219744604102
"309",719.202009638426
"310",629.070862093064
"311",566.490915891014
"312",-171.513789118913
"313",663.346217090221
"314",910.595000926751
"315",1316.02054029305
"316",1150.1015055883
"317",1023.69899396992
"318",-166.394831313607
"319",521.392891568952
"320",191.577194322421
"321",879.872625222279
"322",753.782823683485
"323",506.062582153658
"324",180.498977809314
"325",464.072794782757
"326",930.67822754604
"327",692.66447457002
"328",956.558468129175
"329",140.600693710721
"330",283.505472978614
"331",817.235743559832
"332",-346.895432270042
"333",445.417880671046
"334",561.869634536228
"335",732.380135953016
"336",328.922040419607
"337",253.715963660262
"338",1451.55001688891
"339",1395.72921580345
"340",1037.60713812274
"341",531.802266004425
"342",258.014875808067
"343",516.940225845449
"344",255.451955388558
"345",452.32336704651
"346",31.1549582878662
"347",106.368604083525
"348",674.809212308446
"349",635.816708414781
"350",873.338997879635
"351",260.520946358483
"352",411.147940011232
"353",918.606341088742
"354",674.732316031127
"355",216.847721767679
"356",-1332.63028538394
"357",-1071.05381561155
"358",-772.400985679284
"359",-1378.2299666086
"360",-1569.87661926343
"361",-2362.52187640423
"362",-1726.3517345216
"363",-1270.79011629454
"364",-1282.76218404944
"365",-1222.7938191388
"366",-1556.82739291954
