Feature name,Scale,Outlier treatment,why,,,,,,,,,,,,
movie_id,Nominal,Leave,,,,,,,,,,,,,
budget,Ratio,0 As Null,budget can't be zero,,,,,,,,,,,,
original_language,Nominal,Leave,,,,,,,,,,,,,
popularity,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
release_date,Time-series,Leave,,,,,,,,,,,,,
runtime,Ratio,0 as Null,runtime can't be zero,,,,,,,,,,,,
runtime_cat,Ordinal,Leave,,,,,,,,,,,,,
sw_lang_en,Nominal,Leave,,,,,,,,,,,,,
sw_web_presence,Nominal,Leave,,,,,,,,,,,,,
sw_has_poster,Nominal,Leave,,,,,,,,,,,,,
sw_tagline,Nominal,Leave,,,,,,,,,,,,,
keyword_cnt,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
release_year,Interval,Leave,,,,,,,,,,,,,
release_month,Interval,Leave,,,,,,,,,,,,,
high_release_month,Nominal,Leave,,,,,,,,,,,,,
release_day,Nominal,Leave,,,,,,,,,,,,,
sw_collection,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
producers_cnt,Ratio,Null,affect assumption but doent affect resaults,,,,,,,,,,,,
countries_cnt,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
lang_US,Nominal,Leave,,,,,,,,,,,,,
lang_FR,Nominal,Leave,,,,,,,,,,,,,
lang_RU,Nominal,Leave,,,,,,,,,,,,,
lang_ES,Nominal,Leave,,,,,,,,,,,,,
lang_JA,Nominal,Leave,,,,,,,,,,,,,
keywords_cnt,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
actor0_movies_cnt,Ratio,Null,affect assumption but doent affect resaults,,,,,,,,,,,,
actor0_movies_5y_cnt,Ratio,Null,doesn't affect both assumption and resaults,,,,,,,,,,,,
actor1_movies_cnt,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
actor1_movies_5y_cnt,Ratio,Null,affect assumption but doent affect resaults,,,,,,,,,,,,
actor2_movies_cnt,Ratio,Null,affect assumption but doent affect resaults,,,,,,,,,,,,
actor2_movies_5y_cnt,Ratio,Null,affect assumption but doent affect resaults,,,,,,,,,,,,
sw_female_actor0,Nominal,Leave,,,,,,,,,,,,,
sw_female_actor1,Nominal,Leave,,,,,,,,,,,,,
sw_female_actor2,Nominal,Leave,,,,,,,,,,,,,
sw_male_actor0,Nominal,Leave,,,,,,,,,,,,,
sw_male_actor1,Nominal,Leave,,,,,,,,,,,,,
sw_male_actor2,Nominal,Leave,,,,,,,,,,,,,
actor0_prev_revenue,Ratio,Null,affect assumption but doent affect resaults,,,,,,,,,,,,
actor1_prev_revenue,Ratio,Null,affect assumption but doent affect resaults,,,,,,,,,,,,
actor2_prev_revenue,Ratio,Null,affect assumption but doent affect resaults,,,,,,,,,,,,
director_movies_cnt,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
director_movies_5y_cnt,Ratio,Null,affect assumption but doent affect resaults,,,,,,,,,,,,
genre_adventure,Nominal,Leave,,,,,,,,,,,,,
genre_fantasy,Nominal,Leave,,,,,,,,,,,,,
genre_animation,Nominal,Leave,,,,,,,,,,,,,
genre_drama,Nominal,Leave,,,,,,,,,,,,,
genre_horror,Nominal,Leave,,,,,,,,,,,,,
genre_action,Nominal,Leave,,,,,,,,,,,,,
genre_comedy,Nominal,Leave,,,,,,,,,,,,,
genre_history,Nominal,Leave,,,,,,,,,,,,,
genre_western,Nominal,Leave,,,,,,,,,,,,,
genre_thriller,Nominal,Leave,,,,,,,,,,,,,
genre_crime,Nominal,Leave,,,,,,,,,,,,,
genre_documentary,Nominal,Leave,,,,,,,,,,,,,
genre_science_fiction,Nominal,Leave,,,,,,,,,,,,,
genre_mystery,Nominal,Leave,,,,,,,,,,,,,
genre_music,Nominal,Leave,,,,,,,,,,,,,
genre_romance,Nominal,Leave,,,,,,,,,,,,,
genre_family,Nominal,Leave,,,,,,,,,,,,,
genre_war,Nominal,Leave,,,,,,,,,,,,,
genre_foreign,Nominal,Leave,,,,,,,,,,,,,
depart_Art,Ratio,Null,affect assumption but doent affect resaults,,,,,,,,,,,,
depart_Camera,Ratio,Null,affect assumption but doent affect resaults,,,,,,,,,,,,
depart_Crew,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
depart_Custom_Mkup,Ratio,Null,affect assumption but doent affect resaults,,,,,,,,,,,,
depart_Directing,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
depart_Editing,Ratio,Null,affect assumption but doesn't affect results,,,,,,,,,,,,
depart_Lighting,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
depart_Production,Ratio,Null,affect assumption but doesn't affect results,,,,,,,,,,,,
depart_Sound,Ratio,Null,affect assumption but doesn't affect results,,,,,,,,,,,,
depart_Visual_Effects,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
depart_Writing,Ratio,Null,affect assumption but doesn't affect results,,,,,,,,,,,,
depart_Art_female,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
depart_Camera_female,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
depart_Crew_female,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
depart_Custom_Mkup_female,Ratio,Null,affect assumption but doesn't affect results,,,,,,,,,,,,
depart_Directing_female,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
depart_Editing_female,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
depart_Lighting_female,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
depart_Production_female,Ratio,Null,affect assumption but doesn't affect results,,,,,,,,,,,,
depart_Sound_female,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
depart_Visual_Effects_female,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
depart_Writing_female,Ratio,Leave,affect both assumption and resaults,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
